Coenti;Noenti;Cogrupo;Nogrupo
53261     ;LLOYD´S;     ;
53295     ;PARTNERRE AMERICA INSURANCE COMPANY (ANTIGA PARIS RE AMERICA INSURANCE COMPANY);     ;
53384     ;ECCLESIASTICAL INSURANCE OFFICE PLC;     ;
53414     ;EXPORT DEVELOPMENT CANADA;     ;
53473     ;RENAISSANCERE EUROPE AG.;     ;
01007     ;SABEMI SEGURADORA S.A.;     ;
01015     ;ALLIANZ BRASIL SEGURADORA S.A;     ;
01058     ;BRADESCO AUTO/RE COMPANHIA DE SEGUROS ( INATIVA);     ;
01066     ;SEGURADORA PONTUAL;     ;
01091     ;SUIÇA SEGURADORA;     ;
01121     ;YOUSE SEGURADORA S.A.;     ;
01155     ;SPLIT RISK SEGURADORA S.A.;     ;
01261     ;FACTA SEGURADORA S.A. ;     ;
01279     ;SOMBRERO SEGUROS S.A.;     ;
01414     ;BERKLEY INTERNATIONAL DO BRASIL SEGUROS S/A;     ;
01431     ;XL SEGUROS BRASIL S.A.;     ;
01481     ;HDI SEGUROS DO BRASIL S.A.;     ;
01490     ;ESSOR SEGUROS S.A;     ;
01503     ;FM SEGUROS S.A.;     ;
01511     ;LIGGÊRO SEGURADORA S.A.;     ;
01546     ;BP SEGURADORA S.A.;     ;
01554     ;EQ SEGUROS S.A.;     ;
01571     ;HDI GLOBAL SEGUROS S.A;     ;
01589     ;SANTANDER AUTO S.A.;     ;
01601     ;ATENAS SEGURADORA DE DANOS E PESSOAS S.A.;     ;
01619     ;DAYPREV VIDA E PREVIDÊNCIA S.A.;     ;
01627     ;SAFRA SEGUROS GERAIS S.A.;     ;
01741     ;DAYCOVAL SEGUROS S.A.;     ;
01775     ;ACE SEGUROS SOLUÇÕES CORPORATIVAS S.A.;     ;
01805     ;OXXY SEGURADORA S/A;     ;
01848     ;VINCI VIDA E PREVIDÊNCIA S.A.;     ;
01864     ;TAAMIN SEGURADORA S.A.;     ;
01881     ;ARCESP SEGURADORA S.A.;     ;
01929     ;HDI SEGUROS DE AUTOMÓVEIS E BENS S/A  ;     ;
01937     ;COMPREV VIDA E PREVIDÊNCIA S.A.;     ;
01970     ;UNIMED SEGUROS PATRIMONIAIS S.A.;     ;
02020     ;ATRADIUS CRÉDITO Y CAUCIÓN SEGURADORA S.A.;     ;
02054     ;KAPAM SEGURADORA S.A.;     ;
02062     ;LUIZASEG SEGUROS S.A.;     ;
02071     ;AVLA SEGUROS BRASIL S.A.;     ;
02101     ;MONGERAL AEGON SEGUROS E PREVIDÊNCIA S. A.;     ;
02119     ;ARUANA SEGURADORA S. A.;     ;
02135     ;2P SEGUROS S.A.;     ;
02143     ;ASSURANT SEGURADORA SA;     ;
02241     ;JUSTOS SEGUROS S.A.;     ;
02267     ;VOCÊ SEGURADORA S.A.;     ;
02275     ;SEGURADORA ALM S.A.;     ;
02305     ;BTG PACTUAL SEGUROS S.A.;     ;
02321     ;CICLLOS SEGURADORA S.A.;     ;
02437     ;BTG PACTUAL SEGURADORA S.A.;     ;
02461     ;AUSTRAL SEGURADORA S.A.;     ;
02534     ;EFEITO SEGURADORA VIDA E PREVIDENCIA S.A.;     ;
02542     ;OMINT SEGUROS SA;     ;
02551     ;CONECTA SEGURADORA S.A.;     ;
02577     ;COBUCCIO SEGUROS S.A.;     ;
02607     ;FELSEN SEGURADORA S.A.;     ;
02674     ;ZENPLA SEGUROS S.A.;     ;
02682     ;BTG PACTUAL VIDA E PREVIDÊNCIA S.A.;     ;
02721     ;CRÉDITO Y CAUCIÓN SEGURADORA DE CRÉDITO À EXPORTAÇÃO S.A.;     ;
02739     ;AGÊNCIA BRASILEIRA GESTORA DE FUNDOS GARANTIDORES E GARANTIAS S.A. – ABGF;     ;
02747     ;GALÁPAGOS CAPITAL SOCIEDADE SEGURADORA DE PROPÓSITO ESPECÍFICO S.A.;     ;
02763     ;CESCEBRASIL SEGUROS DE CRÉDITO S.A.;     ;
